Subject	Object	IRI	DiseaseLocation	Direct	Inherited
DOID:0050890	synucleinopathy	http://purl.obolibrary.org/obo/DOID_0050890		0	1
DOID:10113	trypanosomiasis	http://purl.obolibrary.org/obo/DOID_10113		0	0
DOID:10718	giardiasis	http://purl.obolibrary.org/obo/DOID_10718		0	0
DOID:13406	pulmonary sarcoidosis	http://purl.obolibrary.org/obo/DOID_13406	UBERON:0001004,UBERON:0002048	0	0
DOID:1947	trichomoniasis	http://purl.obolibrary.org/obo/DOID_1947		1	0
DOID:7551	gonorrhea	http://purl.obolibrary.org/obo/DOID_7551	UBERON:0000079,UBERON:0000474	0	0
EFO:0000001	experimental factor	http://www.ebi.ac.uk/efo/EFO_0000001		0	11571
EFO:0000002	CS57511	http://www.ebi.ac.uk/efo/EFO_0000002		0	0
EFO:0000003	CS57512	http://www.ebi.ac.uk/efo/EFO_0000003		0	0
EFO:0000004	CS57515	http://www.ebi.ac.uk/efo/EFO_0000004		0	0
EFO:0000005	CS57520	http://www.ebi.ac.uk/efo/EFO_0000005		0	0
EFO:0000006	CS57521	http://www.ebi.ac.uk/efo/EFO_0000006		0	0
EFO:0000007	CS57537	http://www.ebi.ac.uk/efo/EFO_0000007		0	0
EFO:0000008	CS57541	http://www.ebi.ac.uk/efo/EFO_0000008		0	0
EFO:0000009	CS57543	http://www.ebi.ac.uk/efo/EFO_0000009		0	0
EFO:0000010	CS57544	http://www.ebi.ac.uk/efo/EFO_0000010		0	0
EFO:0000011	CS57548	http://www.ebi.ac.uk/efo/EFO_0000011		0	0
EFO:0000012	CS57549	http://www.ebi.ac.uk/efo/EFO_0000012		0	0
EFO:0000013	CS57551	http://www.ebi.ac.uk/efo/EFO_0000013		0	0
EFO:0000014	CS57556	http://www.ebi.ac.uk/efo/EFO_0000014		0	0
EFO:0000015	CS57560	http://www.ebi.ac.uk/efo/EFO_0000015		0	0
EFO:0000016	CS57563	http://www.ebi.ac.uk/efo/EFO_0000016		0	0
EFO:0000017	CS57569	http://www.ebi.ac.uk/efo/EFO_0000017		0	0
EFO:0000018	CS57570	http://www.ebi.ac.uk/efo/EFO_0000018		0	0
EFO:0000019	CS57572	http://www.ebi.ac.uk/efo/EFO_0000019		0	0
EFO:0000020	CS57580	http://www.ebi.ac.uk/efo/EFO_0000020		0	0
EFO:0000021	CS57581	http://www.ebi.ac.uk/efo/EFO_0000021		0	0
EFO:0000022	CS57583	http://www.ebi.ac.uk/efo/EFO_0000022		0	0
EFO:0000023	CS57586	http://www.ebi.ac.uk/efo/EFO_0000023		0	0
EFO:0000024	CS57587	http://www.ebi.ac.uk/efo/EFO_0000024		0	0
EFO:0000025	CS57591	http://www.ebi.ac.uk/efo/EFO_0000025		0	0
EFO:0000026	CS57595	http://www.ebi.ac.uk/efo/EFO_0000026		0	0
EFO:0000027	CS57596	http://www.ebi.ac.uk/efo/EFO_0000027		0	0
EFO:0000028	CS57598	http://www.ebi.ac.uk/efo/EFO_0000028		0	0
EFO:0000029	CS57601	http://www.ebi.ac.uk/efo/EFO_0000029		0	0
EFO:0000030	CS57603	http://www.ebi.ac.uk/efo/EFO_0000030		0	0
EFO:0000031	CS57606	http://www.ebi.ac.uk/efo/EFO_0000031		0	0
EFO:0000032	CS57610	http://www.ebi.ac.uk/efo/EFO_0000032		0	0
EFO:0000033	CS57615	http://www.ebi.ac.uk/efo/EFO_0000033		0	0
EFO:0000034	CS57616	http://www.ebi.ac.uk/efo/EFO_0000034		0	0
EFO:0000035	CS57618	http://www.ebi.ac.uk/efo/EFO_0000035		0	0
EFO:0000036	CS57619	http://www.ebi.ac.uk/efo/EFO_0000036		0	0
EFO:0000037	CS57620	http://www.ebi.ac.uk/efo/EFO_0000037		0	0
EFO:0000038	CS57621	http://www.ebi.ac.uk/efo/EFO_0000038		0	0
EFO:0000039	CS57622	http://www.ebi.ac.uk/efo/EFO_0000039		0	0
EFO:0000040	CS57624	http://www.ebi.ac.uk/efo/EFO_0000040		0	0
EFO:0000041	CS57625	http://www.ebi.ac.uk/efo/EFO_0000041		0	0
EFO:0000042	CS57626	http://www.ebi.ac.uk/efo/EFO_0000042		0	0
EFO:0000043	CS57627	http://www.ebi.ac.uk/efo/EFO_0000043		0	0
EFO:0000044	CS57628	http://www.ebi.ac.uk/efo/EFO_0000044		0	0
EFO:0000045	CS57629	http://www.ebi.ac.uk/efo/EFO_0000045		0	0
EFO:0000046	CS57630	http://www.ebi.ac.uk/efo/EFO_0000046		0	0
EFO:0000047	CS57631	http://www.ebi.ac.uk/efo/EFO_0000047		0	0
EFO:0000048	CS57637	http://www.ebi.ac.uk/efo/EFO_0000048		0	0
EFO:0000049	CS57641	http://www.ebi.ac.uk/efo/EFO_0000049		0	0
EFO:0000050	CS57644	http://www.ebi.ac.uk/efo/EFO_0000050		0	0
EFO:0000051	CS57646	http://www.ebi.ac.uk/efo/EFO_0000051		0	0
EFO:0000052	CS57648	http://www.ebi.ac.uk/efo/EFO_0000052		0	0
EFO:0000053	CS57655	http://www.ebi.ac.uk/efo/EFO_0000053		0	0
EFO:0000054	CS57658	http://www.ebi.ac.uk/efo/EFO_0000054		0	0
EFO:0000055	CS57660	http://www.ebi.ac.uk/efo/EFO_0000055		0	0
EFO:0000056	CS57663	http://www.ebi.ac.uk/efo/EFO_0000056		0	0
EFO:0000057	CS57664	http://www.ebi.ac.uk/efo/EFO_0000057		0	0
EFO:0000058	CS57666	http://www.ebi.ac.uk/efo/EFO_0000058		0	0
EFO:0000059	CS57671	http://www.ebi.ac.uk/efo/EFO_0000059		0	0
EFO:0000060	CS57677	http://www.ebi.ac.uk/efo/EFO_0000060		0	0
EFO:0000061	CS57691	http://www.ebi.ac.uk/efo/EFO_0000061		0	0
EFO:0000062	CS57692	http://www.ebi.ac.uk/efo/EFO_0000062		0	0
EFO:0000063	CS57699	http://www.ebi.ac.uk/efo/EFO_0000063		0	0
EFO:0000064	CS57701	http://www.ebi.ac.uk/efo/EFO_0000064		0	0
EFO:0000065	CS57704	http://www.ebi.ac.uk/efo/EFO_0000065		0	0
EFO:0000066	CS57705	http://www.ebi.ac.uk/efo/EFO_0000066		0	0
EFO:0000067	CS57706	http://www.ebi.ac.uk/efo/EFO_0000067		0	0
EFO:0000068	CS57709	http://www.ebi.ac.uk/efo/EFO_0000068		0	0
EFO:0000069	CS57710	http://www.ebi.ac.uk/efo/EFO_0000069		0	0
EFO:0000070	CS57714	http://www.ebi.ac.uk/efo/EFO_0000070		0	0
