Subject	Object
RO:0002161	RO:0002161
obo:UBPROP_0000001	UBPROP:0000001
obo:UBPROP_0000002	UBPROP:0000002
obo:UBPROP_0000003	UBPROP:0000003
obo:UBPROP_0000007	UBPROP:0000007
obo:UBPROP_0000008	UBPROP:0000008
obo:UBPROP_0000100	UBPROP:0000100
obo:UBPROP_0000101	UBPROP:0000101
obo:UBPROP_0000111	UBPROP:0000111
dce:creator	http://purl.org/dc/elements/1.1/creator
rdfs:seeAlso	http://www.w3.org/2000/01/rdf-schema#seeAlso
BFO:0000050	OBO_REL:part_of
BFO:0000050	BFO:0000050
BFO:0000051	BFO:0000051
RO:0000052	RO:0000052
RO:0001015	RO:0001015
RO:0001019	RO:0001019
RO:0001025	RO:0001025
RO:0002160	RO:0002160
RO:0002180	RO:0002180
RO:0002202	RO:0002202
RO:0002215	RO:0002215
RO:0002503	RO:0002503
RO:0002573	RO:0002573
RO:0003000	RO:0003000
RO:0004022	RO:0004022
RO:0004029	RO:0004029
BFO:0000015	SNOMEDCT:415178003
BFO:0000015	NCIt:C29862
BFO:0000016	NCIt:C41205
BFO:0000019	SNOMEDCT:263496004
BFO:0000019	NCIt:C25283
BFO:0000020	BFO:0000020
BFO:0000023	NCIt:C48835
BFO:0000023	MeSH:D012380
BFO:0000029	SNOMEDCT:10546003
BFO:0000029	NCIt:C37901
BFO:0000034	SNOMEDCT:277064003
BFO:0000034	SNOMEDCT:246464006
BFO:0000034	NCIt:C25518
BFO:0000034	BFO:function
BTO:0000155	SNOMEDCT:397394009
BTO:0000155	NCIt:C51913
BTO:0000155	MeSH:D018893
BTO:0000214	NCIt:C16396
BTO:0000305	NCIt:C61551
BTO:0001383	UBERON:0004103
BTO:0001384	SNOMEDCT:77601007
BTO:0001384	NCIt:C17201
BTO:0001436	NCIt:C79645
BTO:0001436	MeSH:D025282
BTO:0001629	NCIt:C12871
BTO:0001630	NCIt:C12870
BTO:0001948	ATCC:TIB-152
BTO:0004687	NCIt:C12347
BTO:0004687	MeSH:D009915
CHEBI:100241	SNOMEDCT:7577004
CHEBI:100241	SNOMEDCT:372840008
CHEBI:100241	NCIt:C375
CHEBI:100241	MeSH:D002939
CHEBI:100246	"Wikipedia:Norfloxacin ""Wikipedia"""
CHEBI:100246	SNOMEDCT:49485009
CHEBI:100246	SNOMEDCT:387271008
CHEBI:100246	"Patent:US4292317 ""Patent"""
CHEBI:100246	"Patent:US4146719 ""Patent"""
CHEBI:100246	"Patent:DE2840910 ""Patent"""
CHEBI:100246	"Patent:BE863429 ""Patent"""
CHEBI:100246	NCIt:C47638
CHEBI:100246	MeSH:D009643
CHEBI:100246	"KEGG DRUG:D00210 ""KEGG DRUG"""
CHEBI:100246	"KEGG COMPOUND:C06687 ""KEGG COMPOUND"""
CHEBI:100246	"KEGG COMPOUND:70458-96-7 ""CAS Registry Number"""
CHEBI:100246	"Gmelin:1576626 ""Gmelin Registry Number"""
CHEBI:100246	"DrugBank:DB01059 ""DrugBank"""
CHEBI:100246	"CiteXplore:6461606 ""PubMed citation"""
CHEBI:100246	"CiteXplore:6454381 ""PubMed citation"""
CHEBI:100246	"CiteXplore:6234465 ""PubMed citation"""
CHEBI:100246	"CiteXplore:6224685 ""PubMed citation"""
CHEBI:100246	"CiteXplore:6211142 ""PubMed citation"""
CHEBI:100246	"CiteXplore:3908074 ""PubMed citation"""
CHEBI:100246	"CiteXplore:3317294 ""PubMed citation"""
CHEBI:100246	"ChemIDplus:70458-96-7 ""CAS Registry Number"""
CHEBI:100246	"ChEMBL:100246 ""ChEMBL COMPOUND"""
CHEBI:100246	"Beilstein:567897 ""Beilstein Registry Number"""
CHEBI:10033	Wikipedia:Warfarin
CHEBI:10033	SNOMEDCT:48603004
CHEBI:10033	SNOMEDCT:372756006
CHEBI:10033	Patent:US3239529
CHEBI:10033	Patent:US2777859
CHEBI:10033	Patent:US2765321
CHEBI:10033	Patent:US2427578
CHEBI:10033	NCIt:C945
CHEBI:10033	MeSH:D014859
CHEBI:10033	DrugBank:DB00682
CHEBI:10033	Beilstein:1293536
CHEBI:101278	Wikipedia:Diltiazem
CHEBI:101278	SNOMEDCT:59941008
CHEBI:101278	SNOMEDCT:372793000
CHEBI:101278	Patent:US4552695
CHEBI:101278	Patent:US3562257
CHEBI:101278	Patent:DE3415035
CHEBI:101278	Patent:DE1805714
CHEBI:101278	NIST Chemistry WebBook:42399-41-7
CHEBI:101278	NCIt:C61725
CHEBI:101278	MeSH:D004110
CHEBI:101278	KEGG DRUG:D07845
CHEBI:101278	KEGG COMPOUND:C06958
CHEBI:101278	KEGG COMPOUND:42399-41-7
