# Date and time run: 2023-05-17 16:30:17.557827
# Target Ontology: https://github.com/EBISPOT/efo/releases/download/v3.43.0/efo.owl
# Text2term version: 2.3.1
# Minimum Score: 0.60
# Mapper: tfidf
# Base IRIs: ('http://www.ebi.ac.uk/efo/', 'http://purl.obolibrary.org/obo/MONDO', 'http://purl.obolibrary.org/obo/HP', 'http://www.orpha.net/ORDO', 'http://purl.obolibrary.org/obo/DOID')
# Max Mappings: 1
# Term Type: classes
# Deprecated Terms Excluded
Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score
ieu-b-5103,Schizophrenia,schizophrenia,MONDO:0005090,http://purl.obolibrary.org/obo/MONDO_0005090,0.9876231532062112
ieu-b-5088,Sepsis (under 75),Sepsis,HP:0100806,http://purl.obolibrary.org/obo/HP_0100806,0.6570473074084798
ieu-b-5086,Sepsis (28 day death),Sepsis,HP:0100806,http://purl.obolibrary.org/obo/HP_0100806,0.6042820276152826
ukb-a-583,Diagnoses - main ICD10: R11 Nausea and vomiting,Nausea and vomiting,HP:0002017,http://purl.obolibrary.org/obo/HP_0002017,0.6858683798762322
finn-b-REAC_ARTHRO_NOS,Other/unspecified reactive arthropathies,crystal arthropathy,MONDO:0022208,http://purl.obolibrary.org/obo/MONDO_0022208,0.6474515704659927
ukb-b-5326,Operative procedures - main OPCS: X33.9 Unspecified other blood transfusion,blood transfusion,EFO:0020988,http://www.ebi.ac.uk/efo/EFO_0020988,0.6136656766336158
ebi-a-GCST009541,Heart failure,heart failure,EFO:0003144,http://www.ebi.ac.uk/efo/EFO_0003144,0.9977272986082554
finn-b-O15_POSTPART_DEPR,Postpartum depression,postpartum depression,EFO:0007453,http://www.ebi.ac.uk/efo/EFO_0007453,0.9921482829532111
ukb-e-2100_AFR,"Seen a psychiatrist for nerves, anxiety, tension or depression","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",EFO:0009821,http://www.ebi.ac.uk/efo/EFO_0009821,0.7338656526589832
finn-b-H7_GLOBEDEGENERATED,Degenerated conditions of globe,eye degenerative disorder,MONDO:0004884,http://purl.obolibrary.org/obo/MONDO_0004884,0.6799021637087621
